WebSocket Port initialized: 8888                             - [17/03/06 14:34:31][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@3a1f830b is connected       - [17/03/06 14:34:38][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 14:34:38][INFO][websocket.HeartBeat-24]
org.java_websocket.WebSocketImpl@6ae84cfa is connected       - [17/03/06 14:35:16][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 14:35:16][INFO][websocket.HeartBeat-24]
A123456789 is disconnected. (onClose)                        - [17/03/06 14:35:59][INFO][websocket.WebSocket-64]
org.java_websocket.WebSocketImpl@38b4c17a is connected       - [17/03/06 14:36:08][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 14:36:08][INFO][websocket.HeartBeat-24]
SqlSessionFactoryBuilder created.                            - [17/03/06 14:40:21][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 14:40:22][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@7c32d1a3 is connected       - [17/03/06 14:40:30][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 14:40:30][INFO][websocket.HeartBeat-24]
RESTful GetServiceNameSetting time: 0s                       - [17/03/06 14:40:30][INFO][restful.servlet.searchUserdataServlet-83]
RESTful GetCustomerLevel time: 21s                           - [17/03/06 14:40:51][INFO][restful.servlet.searchUserdataServlet-121]
RESTful GetServiceNameCache time: 0s                         - [17/03/06 14:40:52][INFO][restful.servlet.searchUserdataServlet-135]
RESTful SetContactLog time: 0s                               - [17/03/06 14:40:52][INFO][restful.servlet.searchUserdataServlet-169]
org.java_websocket.WebSocketImpl@58fb1f6a is connected       - [17/03/06 14:41:24][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 14:41:24][INFO][websocket.HeartBeat-24]
RESTful GetServiceNameSetting time: 0s                       - [17/03/06 14:41:28][INFO][restful.servlet.searchUserdataServlet-83]
RESTful GetCustomerLevel time: 0s                            - [17/03/06 14:41:29][INFO][restful.servlet.searchUserdataServlet-121]
RESTful GetServiceNameCache time: 0s                         - [17/03/06 14:41:29][INFO][restful.servlet.searchUserdataServlet-135]
RESTful SetContactLog time: 0s                               - [17/03/06 14:41:29][INFO][restful.servlet.searchUserdataServlet-169]
SqlSessionFactoryBuilder created.                            - [17/03/06 15:10:46][INFO][com.Info360.db.DBAccess-42]
WebSocket Port initialized: 8888                             - [17/03/06 15:10:47][INFO][websocket.WebSocket-51]
org.java_websocket.WebSocketImpl@45ea3436 is connected       - [17/03/06 15:11:11][INFO][websocket.WebSocket-86]
A123456789 is connected. (HeartBeat)                         - [17/03/06 15:11:12][INFO][websocket.HeartBeat-24]
senduserdata() called                                        - [17/03/06 15:11:12][INFO][websocket.function.ClientFunction-102]
RESTful GetServiceNameSetting time: 0s                       - [17/03/06 15:11:12][INFO][restful.servlet.searchUserdataServlet-83]
RESTful GetCustomerLevel time: 0s                            - [17/03/06 15:11:12][INFO][restful.servlet.searchUserdataServlet-121]
RESTful GetServiceNameCache time: 0s                         - [17/03/06 15:11:13][INFO][restful.servlet.searchUserdataServlet-135]
RESTful SetContactLog time: 0s                               - [17/03/06 15:11:13][INFO][restful.servlet.searchUserdataServlet-169]
org.java_websocket.WebSocketImpl@41201158 is connected       - [17/03/06 15:11:27][INFO][websocket.WebSocket-86]
林智凱 is connected. (HeartBeat)                                - [17/03/06 15:11:27][INFO][websocket.HeartBeat-24]
updateStatus: start - LOGIN                                  - [17/03/06 15:11:27][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY                               - [17/03/06 15:11:27][INFO][websocket.function.CommonFunction-420]
updateStatus: end - NOTREADY                                 - [17/03/06 15:11:32][INFO][websocket.function.CommonFunction-420]
updateStatus: start - READY                                  - [17/03/06 15:11:32][INFO][websocket.function.CommonFunction-420]
updateStatus: end - READY                                    - [17/03/06 15:11:32][INFO][websocket.function.CommonFunction-420]
updateStatus: start - NOTREADY                               - [17/03/06 15:11:32][INFO][websocket.function.CommonFunction-420]
senduserdata() called                                        - [17/03/06 15:11:32][INFO][websocket.function.ClientFunction-102]
